County,County seat,Established,Population,Area
Jefferson County,Louisville,1780,"760,026",385 sq mi
Fayette County,Lexington,1780,"310,797",284 sq mi
Kenton County,Covington and Independence,1840,"163,929",163 sq mi
Boone County,Burlington,1798,"126,413",246 sq mi
Warren County,Bowling Green,1796,"120,460",545 sq mi
Hardin County,Elizabethtown,1792,"108,266",628 sq mi
Daviess County,Owensboro,1815,"98,275",462 sq mi
Campbell County,Alexandria and Newport,1794,"91,833",152 sq mi
Madison County,Richmond,1785,"87,340",441 sq mi
Bullitt County,Shepherdsville,1796,"77,955",299 sq mi
Christian County,Hopkinsville,1796,"74,250",721 sq mi
McCracken County,Paducah,1825,"65,316",251 sq mi
Pulaski County,Somerset,1798,"63,825",662 sq mi
Oldham County,La Grange,1823,"63,490",189 sq mi
Pike County,Pikeville,1821,"63,034",788 sq mi
Laurel County,London,1825,"60,015",436 sq mi
Scott County,Georgetown,1792,"51,284",285 sq mi
Jessamine County,Nicholasville,1798,"50,815",173 sq mi
Franklin County,Frankfort,1794,"49,880",210 sq mi
